ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median
53,1193.0,3769.0,2228.6819183019625,557.1639802486413,2228.0,1.0,634773.0,2236.658189827793,36058.82361981072,3.0
54,952.0,4248.0,2674.348803827751,650.9270538029375,2701.5,1.0,36221.0,162.9053429027113,1703.3710572070697,4.0
55,952.0,4095.0,2322.3081774684647,648.1163463665342,2323.0,1.0,1116587.0,6216.541135897595,80786.24223866028,4.0
56,2533.0,4130.0,3042.770763242958,335.18501225485045,2993.0,1.0,191454.0,1877.268685269477,18028.929947751487,4.0
57,2548.0,5130.0,3638.492514007532,517.9371413491667,3631.0,1.0,73119.0,258.7814956238764,3266.2296317168216,3.0
58,1354.0,4097.0,2593.5695608782435,503.4086340597616,2584.0,1.0,60725.0,140.72045908183634,1338.5849960750174,3.0
59,1358.0,5170.0,3224.425835203388,823.1722830777093,3178.0,1.0,60683.0,314.8209014191346,3500.6082652812315,4.0
60,3789.0,5566.0,4618.796372396202,258.4330622014475,4598.0,1.0,3358.0,44.831585659628736,253.37630117775444,3.0
61,2523.0,4444.0,3399.302080348444,397.8416056556901,3377.0,1.0,33579.0,176.07690985156742,1747.0790700876548,3.0
62,1172.0,3043.0,1889.8026849828286,466.5924311586296,1860.0,1.0,743286.0,5673.77573108544,60550.0487949862,3.0
63,844.0,4332.0,2577.5673327872287,596.9200237387704,2586.0,1.0,157805.0,743.7608252528909,9628.755402174334,4.0
64,822.0,3838.0,2097.0060714453807,648.1250460481773,2125.0,1.0,906370.0,5041.276038970208,66813.95624358687,4.0
65,857.0,4053.0,2528.6695630461923,679.6536573560735,2524.0,1.0,19376.0,137.08858926342072,1250.8855867357547,4.0
66,848.0,3849.0,2331.148129098624,718.5451809776796,2420.0,1.0,1131603.0,7368.570978526424,90380.36790285475,4.0
67,2263.0,4690.0,3217.530358306189,556.9290770789067,3151.0,1.0,100825.0,524.3813680781759,5909.073561466212,4.0
68,2268.0,4229.0,3123.2918744293843,341.4528432629234,3127.0,1.0,100769.0,124.113772034553,1849.985946000552,3.0
69,1411.0,4058.0,2708.3581555671176,469.6079013515324,2725.0,1.0,203609.0,1298.6482180020812,15384.466888477207,4.0
70,1450.0,5098.0,3355.018573792298,588.7806077182973,3291.0,1.0,59766.0,246.43139863089252,2882.8448541489747,3.0
71,2256.0,6558.0,4071.161873481754,775.3136485144568,4260.0,1.0,106739.0,366.13912821959184,4904.129187319346,4.0
72,2253.0,5456.0,3573.6565156706,698.7857443134982,3599.0,1.0,30549.0,161.52341073467835,1585.2759040132526,4.0
73,2201.0,4768.0,3342.0287745619435,520.9844412890538,3324.0,1.0,17142.0,119.56188770083412,1072.8391487410593,4.0
74,2176.0,4247.0,2881.274517783023,439.24830793014286,2826.0,1.0,129845.0,1045.2426141450314,10376.712641333223,4.0
75,1074.0,4319.0,2441.360524256651,729.3338778838853,2427.0,1.0,278044.0,2016.3043166405841,23089.477558495768,4.0
