ws_id,longitude,latitude,area_sqkm,perimeter_km,geometry_count,SHAPE__Len,SHAPE__Are,f_area,area_ha
85,89.57309999978057,27.356691759663132,5.3590134349173256e-09,0.0004501689539297663,1,52466.1094311,74771247.5108,58755797.3269,5875.57973269088
86,89.03931663693075,27.429779461627632,1.831615912421075e-08,0.0008039416084116364,1,95314.0635666,255724007.808,200722841.635,20072.2841634846
87,89.10441871867742,27.359132876458958,1.3501758774380903e-08,0.0007195564182637459,1,84719.5864575,188386515.146,148051180.263,14805.1180262619
88,89.44908736271553,27.35754381845948,2.1104413336988036e-08,0.0008873620810604097,1,103962.105841,294460139.774,225506738.552,23139.2217748392
89,89.65325111786697,27.306403051506816,1.2773548609280962e-08,0.0006954948115075722,1,81701.2738986,178141201.38,140108322.891,14010.8322891154
90,90.10250100591674,27.39312224774166,1.1413737593795235e-08,0.0006642106432487427,1,79094.4145455,159301847.909,125093765.332,12509.3765332367
91,90.19597638800558,27.41118174479804,2.7303040491306945e-08,0.0011106341451421144,1,131066.450826,381131700.475,299193593.088,29919.3593088485
92,89.22505532148176,27.317356685288818,1.2065498569245222e-08,0.0006213369912897135,1,73317.8746809,168283290.229,132344517.286,13234.4517285852
93,89.23067280166457,27.4367806869426,3.7938941308186106e-08,0.0013872465853271042,1,164156.156391,529724608.066,415704044.555,41570.5766001925
94,90.6027003629465,27.28360684971276,8.147416896487888e-09,0.000577419196295837,1,67375.8627684,113601372.8,69560906.8791,8938.92131031521
95,91.21063084946304,27.350109831803323,2.792653631806253e-08,0.0011517055511577803,1,135110.063505,389620050.644,306297143.369,30629.7143369038
96,91.06793118977366,27.296776963343607,2.9397431585062647e-08,0.0010874838097328621,1,128128.734295,409944183.713,322556457.816,32255.6457815671
97,90.4918530713739,27.266437278053274,1.1098061567082484e-08,0.0006399886715302913,1,74500.4673861,154719000.637,121776995.978,12177.6995978363
98,91.35376596579249,27.4073290864875,4.083970470710062e-08,0.0013662038916763268,1,162632.223963,570074868.963,447740610.157,44774.0610156945
99,91.49501066386343,27.297967864399826,2.2657576102545207e-08,0.0008868718951658239,1,104577.321691,315960911.873,248668169.669,24866.8169668911
100,89.98650411833295,27.28545054644474,2.6970699183243575e-08,0.0010497625338892736,1,123712.445716,376065257.398,295877684.642,29587.7684641961
101,90.10991963285903,27.260586289121886,5.062146601879173e-09,0.00044287205752267995,1,52253.7464194,70568093.935,55545770.5941,5554.57705941478
102,89.38879544189173,27.229975574947186,2.0973124670669728e-08,0.000928131363518948,1,108529.336979,292292336.663,230215466.385,23021.5466384689
103,89.52414904253915,27.252154382388614,1.315132305617463e-08,0.0006816827053994386,1,79659.8382464,183320153.426,144324657.008,14432.4657007529
104,90.48490884693044,27.203721645679394,1.7639788098634204e-08,0.0009407559332053299,1,110100.975202,245779270.562,193664720.604,19366.4720604461
105,90.24323689375014,27.25009222162753,4.021660045912964e-08,0.0012535684005520928,1,147531.485937,560580904.333,441333469.08,44133.3469080187
106,89.62014465875983,27.20867998361039,9.674356217922597e-09,0.0007071437279690278,1,82952.6369025,134801056.773,106206343.925,10620.6343925161
107,89.12183275080612,27.249203654785276,9.531950790660744e-09,0.0006306030169366351,1,75086.2359184,132865166.814,104620699.097,10462.1559948931
108,89.02753616943873,27.211842237297393,2.6396879954302003e-08,0.001076711171086007,1,127758.728753,367820937.201,288956875.84,28983.6496558167
109,90.6486602145436,27.185203842466493,2.4016358245664515e-08,0.0011314221738484356,1,133868.186758,334570212.999,263726629.138,26372.6629137676
110,90.75105112541333,27.22568499591683,1.1153604045257159e-08,0.0007217328136813206,1,85647.8546043,155436423.618,122439833.588,12243.9833588391
111,89.18261322555728,27.214201504314225,9.815205149650945e-09,0.0006126808623846294,1,72949.5915512,136770425.263,107760998.815,10776.0998815304
112,91.75970702183598,27.244492025868666,2.2154864991902503e-08,0.0012358144830198201,1,145292.536181,308802029.59,243316403.438,24331.6403437735
113,91.77673348890238,27.156819198619143,1.121520218503344e-08,0.0006456793762482173,1,76513.8221627,156198372.742,123267949.76,12326.7949760266
114,91.87213287763292,27.173498930627016,2.379426555253867e-08,0.0009749736716774411,1,115298.337656,331441441.672,261509997.953,26150.9997952818
115,91.98666841710985,27.19903236749802,2.071641234300238e-08,0.0008434008662204193,1,100256.144694,288634564.535,224637975.898,22765.6307323091
116,91.52697988997306,27.194127002130212,1.5440942193339278e-08,0.0010261357685882081,1,119884.55983,215123727.763,169624384.061,16962.4384060585
117,91.47877815155186,27.106706466258093,1.8658066030061327e-08,0.0008348753680376143,1,98251.6507207,259741529.202,205115451.155,20511.5451155381
118,90.72246511622053,27.120450742853336,7.025682132264498e-09,0.000496781753047092,1,58731.2942158,97817491.6012,77195588.2241,7719.55882240764
119,90.81835285051447,27.23466470432918,2.5514345504229115e-08,0.00120123823147214,1,142536.292845,355596608.707,280071165.364,28007.1165363957
120,91.36037064596655,27.179594532027195,1.8322112909969176e-08,0.0009075372827959954,1,106699.539305,255231118.788,190428008.083,20127.7020102114
121,90.03290021431928,27.163049797260793,1.5937168727783165e-08,0.0008922196979936928,1,104514.137614,221975352.179,152762490.506,17502.4356652597
122,90.19858869953698,27.10783252107452,2.1597702860977426e-08,0.001013678167999516,1,118805.047468,300667614.97,237306104.361,23730.6104361319
123,89.82858941969738,27.186073486082226,2.9385885723777923e-08,0.0010838179244000992,1,127419.763379,409375761.187,322657174.639,32265.7174639057
124,89.7396685090046,27.118669656088827,2.5846234703705867e-08,0.0010772288552559884,1,126543.225339,359847540.445,283961246.12,28396.2106613267
125,91.28915438542546,27.072952698357618,6.018457834050125e-09,0.00044805391248993893,1,52539.3546363,83758520.9903,66174410.8226,6617.44108226335
126,91.20392429638075,27.165489913763007,2.9470063176074213e-08,0.0011187919983708858,1,131746.906158,410472690.047,323751286.585,32375.1286584919
127,91.3057431245903,26.987390979862752,9.307932582237136e-09,0.0006157280523683607,1,72570.4874106,129439307.027,101505363.644,10242.0423436656
128,91.38876036550954,27.017719245270808,1.1458348624202932e-08,0.0006932303125965126,1,81277.4857075,159386717.583,124943120.891,12605.6171328253
129,91.09795645016095,27.100664074877372,1.9741610447652132e-08,0.000974928097209198,1,114555.81447,274810889.058,212454868.537,21698.7126580698
130,89.14830481176125,27.08152391744909,1.377867729802152e-08,0.0006117114501167961,1,72036.7269665,191771729.728,151454032.414,15145.4032413786
131,89.27089067809491,27.133453461901766,2.5215311691835853e-08,0.0009123994908604279,1,108245.372222,351109927.266,277025556.849,27702.5556848889
132,90.00751600930964,27.088271634024455,9.999212674144123e-09,0.0006390941563993703,1,75007.0190294,139177488.82,109884660.797,10988.4660796932
133,90.16052098901632,27.017824491695908,1.000059851426845e-08,0.0006004332769684261,1,70061.1213053,139109386.013,109968161.071,10996.8161070909
134,90.76695404663528,27.048802489440742,1.2994752180421757e-08,0.0006816297023928463,1,79576.3590677,180808265.192,142873301.448,14287.3301447578
135,90.91275970711833,27.278677620582545,8.295817923526847e-08,0.0023924096979205606,1,282941.758768,1156660509.06,902408300.722,91031.4142714122
136,90.34263343085911,27.06876075788625,2.207581300022544e-08,0.0009186837541632495,1,108560.47608,307216394.068,242646679.576,24264.6679575665
137,90.41982600952412,27.127109269456625,1.3194107293873543e-08,0.0008322472911730867,1,98724.6562974,183710547.485,144951339.685,14495.1339685196
138,88.88744181061193,27.17041117250458,3.166677067870363e-08,0.0011848572020923373,1,140605.23833,441088974.265,347850901.155,34785.0901154683
139,88.96646221837905,27.043632231393058,1.8586415631014272e-08,0.0009900888763494501,1,117332.398468,258598531.105,177240070.263,20438.4881689144
140,90.48736198097626,27.036775792240856,1.3214120383833096e-08,0.0008643900305408998,1,102337.922411,183840967.63,145287923.352,14528.7923351972
141,90.59076610076384,27.023750579345624,1.966780281429738e-08,0.0009138605718671486,1,107438.758374,273595712.845,216276082.823,21627.6082822545
142,91.07373572302636,26.974941386013654,1.4118770787950303e-08,0.0008029358771674643,1,94111.6073662,196318786.226,155352721.082,15535.2721081787
143,91.19104965283671,26.98346359510675,1.4500448536940031e-08,0.0008107174659942466,1,94899.409069,201641172.47,159550977.979,15955.0977979168
144,89.94578544970464,26.996800555518963,2.0397538978389186e-08,0.0009232271848455288,1,109239.857639,283679018.625,224334291.059,22433.4291059276
145,90.06281551579565,26.984077610521883,1.1421690861048039e-08,0.0006214248344722665,1,73101.3981663,158829281.232,125630922.003,12563.0922002747
146,91.6066066036207,27.057008908030383,3.187455775171937e-08,0.0012153238521057437,1,143495.202143,443533654.452,350594478.033,35059.5339205069
147,91.7131398647314,27.021645010688538,1.7572633603333502e-08,0.0008871974940063294,1,104158.200778,244445564.332,193361709.111,19336.1709110922
148,89.25691537614057,26.971732117633174,2.542137595289474e-08,0.0010090531030055624,1,118118.982463,353469237.672,279685514.862,27968.5514861617
149,92.02492852314299,27.006745407331096,2.3919393811889732e-08,0.0009318918206097401,1,110288.416504,332688704.157,243162746.404,26330.7465863115
150,89.41643887553086,27.027321347813857,3.7555950167080756e-08,0.0012484344700614367,1,147397.941565,522451962.581,412968334.671,41296.833467077
151,90.1202214582832,26.919880036853897,1.0438270024804791e-08,0.0007223119654698486,1,84585.9950542,145071218.206,109030719.662,11487.8322503606
152,90.86915571577529,26.936780056211003,4.1159562165834055e-08,0.0013364203539761167,1,156105.957709,572122071.555,452996824.357,45299.6824356804
153,91.14487926440762,26.872814843829236,3.79534313554199e-08,0.0016330926123616528,1,190988.716154,527257586.903,353320719.723,41799.9536834401
154,89.31840976336849,26.868242401325112,1.2362692674683883e-08,0.0007831658701151228,1,91247.4462489,171738278.133,100076214.561,13613.3115204803
