ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median,slope_mean_deg,slope_p90_deg,pct_slope_gt_15,pct_slope_gt_30,relief_m
108,839.0,4528.0,2626.0040917986125,794.7537509175946,2560.0,1.0,338012.0,2335.010725087046,25708.59791558271,4.0,24.96443502681272,36.496652984619146,85.81086232749638,28.8560754314179,3689.0
109,521.0,4143.0,1750.2933173157512,682.4562055299791,1674.0,1.0,436713.0,1514.0074872883724,23991.619850901672,3.0,27.763031164440967,39.28778839111328,90.71911493546403,41.9232273565402,3622.0
110,549.0,3966.0,1975.217443609023,628.5211776809632,1941.0,1.0,16022.0,141.08685714285716,1159.0109316325738,3.0,26.123522556390977,38.34259796142578,88.24661654135339,34.64661654135338,3417.0
111,857.0,4611.0,2650.992137289758,698.9977787622814,2663.0,1.0,14105.0,116.7598112949542,945.6432460090977,4.0,25.455609872829207,36.4915657043457,88.0897032681526,29.90564747709558,3754.0
112,1637.0,4421.0,3204.483613254653,668.2525742050352,3298.0,1.0,31807.0,203.4303828113179,1851.895073829936,3.0,24.282658117718263,36.71136016845704,81.80662732637313,27.429263126040247,2784.0
113,1615.0,4453.0,2869.445455089462,553.374113581806,2848.0,1.0,48012.0,114.68314284004548,1095.4922305384953,3.0,25.982793893243972,38.31874465942383,88.45670516426306,31.045419184967987,2838.0
114,1151.0,4477.0,2666.974278703782,681.8353012853332,2627.0,1.0,34267.0,154.06419042784216,1593.1671053632058,3.0,26.76711932763629,38.11936569213867,90.44476408043546,35.35550102941591,3326.0
115,1153.0,4401.0,2725.493941161224,704.7243198534015,2685.0,1.0,63767.0,181.00398522550543,1692.5842075709074,3.0,25.88971779419388,36.77659721374512,89.02928978745463,31.89476412649041,3248.0
116,496.0,3835.0,2109.40482294156,602.7947815775606,2080.0,1.0,22298.0,251.0172061698892,1960.512123249668,3.0,26.82536117749294,37.80686950683594,88.73777970888551,38.83554203780143,3339.0
117,469.0,2992.0,1629.7462294373852,472.7721815916114,1652.0,1.0,26813.0,160.20665202836472,1524.5591946318073,3.0,25.57173292898024,36.1669921875,88.69371152946258,29.063028688672116,2523.0
118,410.0,2426.0,1244.688394731819,469.0155428795182,1228.0,1.0,483750.0,4930.575491506012,46194.705318380096,3.0,24.877384460297765,37.031288146972656,85.25481962206528,31.036457339186867,2016.0
119,443.0,4579.0,2654.651883768588,882.506455940063,2696.0,1.0,36858.0,242.33027691660973,2328.024734218027,3.0,24.05924544164784,35.59103279113771,83.36923966160475,26.651253218433084,4136.0
120,339.0,2896.0,1362.6868931149463,511.61970079396536,1346.0,1.0,1293008.0,10131.016525594518,112616.1436502969,3.0,29.254234454582097,41.00226974487305,92.00469019090542,49.507163533765706,2557.0
121,366.0,3445.0,1640.7038769490098,646.2575418303946,1609.0,1.0,997776.0,6769.335103244838,80690.29271122329,3.0,25.201253687315635,36.19749488830568,87.40834386852086,29.072903497682255,3079.0
122,358.0,4111.0,1906.7749355049264,751.8451456463513,1849.0,1.0,1028932.0,398.8905914897585,15132.98773394889,3.0,25.483338125135983,36.45940399169922,87.44599508904982,32.12010070556056,3753.0
123,1043.0,4693.0,2726.799433479532,680.8418097990452,2638.0,1.0,79291.0,192.14258954678365,2128.915534947863,3.0,22.592390807748536,33.96730041503906,79.65323464912281,20.353618421052634,3650.0
124,1040.0,4485.0,2760.170682939496,640.7229198436798,2741.0,1.0,79281.0,223.4554920799792,2251.6898457248194,3.0,24.451955660867306,35.87215690612793,85.56219163853544,26.689171643728905,3445.0
125,259.0,2109.0,993.4428698951128,414.8241676598552,969.0,1.0,1381958.0,20317.78185672841,165014.07004235336,4.0,27.510026709997767,40.33647155761719,87.01182771702744,42.412407944655214,1850.0
126,270.0,3297.0,1440.2223057130495,546.4077674569631,1421.0,1.0,1275683.0,8754.303982512467,104167.21960377113,3.0,28.647545369674614,40.64937973022461,90.66648450486144,46.94082018352802,3027.0
127,265.0,2155.0,1258.3782203940248,359.6813415263922,1277.0,1.0,1382161.0,607.5637583892617,26263.07119134524,3.0,26.24516715378509,37.56037216186523,89.43494262827451,33.71581150321138,1890.0
128,337.0,2510.0,1362.54582233949,401.8477322061244,1372.0,1.0,1293057.0,835.8786866021694,28154.256296621144,3.0,24.812708883025504,35.46831130981445,87.8510700674289,24.989739079448842,2173.0
